City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Aksu,CN,41.1231,80.2644,68.49,38,44,5.79,scattered clouds
284,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,65,75,9.22,light rain
285,Ponta Delgada,PT,37.7333,-25.6667,74.12,88,20,5.75,few clouds
286,San-Pedro,CI,4.7485,-6.6363,75.54,87,2,9.86,clear sky
287,Anloga,GH,5.7947,0.8973,76.93,86,91,16.46,light rain
288,Yashan,CN,22.1975,109.9419,77.27,85,90,2.46,overcast clouds
289,Chuy,UY,-33.6971,-53.4616,60.85,76,100,12.68,overcast clouds
290,Najran,SA,17.4924,44.1277,82.35,22,100,2.84,overcast clouds
291,Umuarama,BR,-23.7664,-53.325,76.96,50,0,9.48,clear sky
292,Nelson Bay,AU,-32.7167,152.15,55.99,82,94,1.01,overcast clouds
293,Faanui,PF,-16.4833,-151.75,78.78,70,40,19.04,scattered clouds
294,Tokur,RU,53.1333,132.9,33.17,98,100,8.66,overcast clouds
295,Dikson,RU,73.5069,80.5464,30.88,78,12,17.76,few clouds
296,Oranjemund,NA,-28.55,16.4333,53.35,81,33,10.69,scattered clouds
297,Avera,US,33.194,-82.5271,88.56,57,100,4.38,overcast clouds
298,Hailar,CN,49.2,119.7,38.39,52,82,18.57,broken clouds
299,Borsele,NL,51.4419,3.8113,58.01,77,100,10.36,overcast clouds
300,Tiksi,RU,71.6872,128.8694,32.2,69,96,4.56,overcast clouds
301,Sinnamary,GF,5.3833,-52.95,84.07,64,99,10.96,overcast clouds
302,Milkovo,RU,54.7167,158.6167,34.83,76,100,0.58,overcast clouds
303,Hermiston,US,45.8404,-119.2895,72.14,55,0,5.75,clear sky
304,Salalah,OM,17.0151,54.0924,80.69,94,75,4.61,broken clouds
305,Kirakira,SB,-10.4544,161.9205,81.03,85,93,13.58,overcast clouds
306,Codrington,AU,-38.2667,141.9667,43.14,92,30,8.59,scattered clouds
307,Castro,BR,-24.7911,-50.0119,64.83,65,0,8.39,clear sky
308,La Ronge,CA,55.1001,-105.2842,65.08,39,30,6.51,scattered clouds
309,Alyangula,AU,-13.8483,136.4192,77.27,80,66,8.21,broken clouds
310,San Luis,AR,-33.295,-66.3356,47.5,84,100,16.17,overcast clouds
311,Meaford,CA,44.6001,-80.583,78.26,82,19,12.33,few clouds
312,Hervey Bay,AU,-25.2986,152.8535,64.17,77,0,4.18,clear sky
313,Buala,SB,-8.145,159.5921,81.1,84,94,14.72,light rain
314,Burnie,AU,-41.0667,145.9167,48.92,74,100,13.33,overcast clouds
315,Pendleton,US,45.6721,-118.7886,70.2,59,0,3.44,clear sky
316,Tilichiki,RU,60.4667,166.1,35.44,70,0,5.37,clear sky
317,Viedma,AR,-40.8135,-62.9967,46.33,94,100,24.23,overcast clouds
318,Tugulym,RU,57.0591,64.6425,55.47,94,81,4.32,broken clouds
319,Chapais,CA,49.7834,-74.8492,59.25,27,88,6.53,overcast clouds
320,Hambantota,LK,6.1241,81.1185,79.3,83,100,15.32,overcast clouds
321,Amahai,ID,-3.3333,128.9167,76.28,87,100,3.91,overcast clouds
322,College,US,64.8569,-147.8028,53.58,58,40,12.66,scattered clouds
323,Porangatu,BR,-13.4408,-49.1486,88.72,38,32,8.9,scattered clouds
324,Tabuk,PH,17.4189,121.4443,72.84,93,94,3.27,overcast clouds
325,Lakes Entrance,AU,-37.8811,147.981,47.16,87,82,18.99,broken clouds
326,Walvis Bay,NA,-22.9575,14.5053,55.87,76,0,20.09,clear sky
327,Asau,RO,46.4333,26.4,52.72,73,14,14.52,few clouds
328,Touros,BR,-5.1989,-35.4608,78.71,75,27,15.46,scattered clouds
329,Shadrinsk,RU,56.0852,63.6335,60.28,85,95,3.94,overcast clouds
330,Ormstown,CA,45.1334,-73.9992,56.08,98,100,7.2,overcast clouds
331,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,6.91,broken clouds
332,Palmer,US,42.1584,-72.3287,83.62,58,75,11.5,broken clouds
333,Sur,OM,22.5667,59.5289,82.18,76,5,14.5,clear sky
334,Necochea,AR,-38.5473,-58.7368,61.88,73,100,15.26,overcast clouds
335,Ribeira Grande,PT,38.5167,-28.7,77.4,88,40,10.36,scattered clouds
336,Canton,CN,23.1167,113.25,80.55,64,72,4.43,moderate rain
337,Biak,ID,-0.9131,122.8766,75.24,83,100,3.27,overcast clouds
338,Itoman,JP,26.1247,127.6694,80.98,89,75,18.41,broken clouds
339,Birao,CF,10.2849,22.7882,74.17,84,11,3.04,few clouds
340,Carballo,ES,43.213,-8.691,72.82,89,100,2.66,overcast clouds
341,Ahipara,NZ,-35.1667,173.1667,60.49,86,100,14.23,light rain
342,Whitefish,US,48.4111,-114.3376,69.21,36,0,4.61,clear sky
343,Sabang,ID,5.8933,95.3214,81.75,73,100,16.37,overcast clouds
344,Port Keats,AU,-14.25,129.55,76.87,88,56,3.91,broken clouds
345,Imperia,IT,43.9667,7.7833,63.0,69,0,4.85,clear sky
346,Netrakona,BD,24.8833,90.7167,80.46,86,25,4.5,light rain
347,Nabire,ID,-3.3667,135.4833,74.86,89,100,2.93,overcast clouds
348,Gat,IL,31.61,34.7642,77.68,100,0,3.4,clear sky
349,Stilfontein,ZA,-26.8449,26.7683,67.28,19,95,9.15,overcast clouds
350,Paka,MY,4.6374,103.4368,77.05,88,100,3.27,overcast clouds
351,Yining,CN,29.0361,114.5636,69.01,82,1,2.48,clear sky
352,Veraval,IN,20.9,70.3667,80.28,76,2,7.31,clear sky
353,Koungou,YT,-12.7336,45.2042,73.11,88,0,3.44,clear sky
354,Kastornoye,RU,51.8334,38.1302,64.35,85,23,14.81,light rain
355,Guanica,PR,17.9716,-66.908,77.13,94,100,42.37,moderate rain
356,Heihe,CN,50.2441,127.4902,37.98,53,5,18.68,clear sky
357,Daru,PG,-9.0763,143.2092,78.75,88,94,9.98,overcast clouds
358,Masindi,UG,1.6744,31.715,66.4,87,97,1.12,overcast clouds
