City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Abu Kamal,SY,2022-09-12 22:34:11,34.4506,40.9171,85.89,18,0,7.38
219,Waipawa,NZ,2022-09-12 22:34:11,-41.4122,175.5153,55.18,65,28,20.2
220,Santa Teresa,VE,2022-09-12 22:34:12,10.2341,-66.6631,75.16,95,79,1.07
221,Kalabo,ZM,2022-09-12 22:34:12,-14.97,22.6814,67.06,19,3,6.2
222,Clyde River,CA,2022-09-12 22:34:12,70.4692,-68.5914,39.43,100,100,4.61
223,Inta,RU,2022-09-12 22:34:13,66.0317,60.1659,45.46,93,100,16.33
224,Buala,SB,2022-09-12 22:34:13,-8.145,159.5921,84.4,65,29,4.81
225,Bathsheba,BB,2022-09-12 22:34:13,13.2167,-59.5167,84.81,79,40,11.5
226,Zhangye,CN,2022-09-12 22:34:14,38.9342,100.4517,66.99,39,99,4.45
227,Westerland,DE,2022-09-12 22:34:14,54.9079,8.3033,62.94,94,100,16.11
228,Terrace,CA,2022-09-12 22:34:14,54.5163,-128.6035,69.71,52,40,8.05
229,Matara,LK,2022-09-12 22:34:15,5.9485,80.5353,76.23,92,90,7.85
230,Omboue,GA,2022-09-12 22:34:15,-1.5746,9.2618,74.43,83,17,5.73
231,Faya,SA,2022-09-12 22:35:15,18.3851,42.4509,69.91,24,49,6.46
232,Dzilam Gonzalez,MX,2022-09-12 22:35:16,21.2833,-88.9333,78.66,91,100,5.88
233,Lorengau,PG,2022-09-12 22:35:16,-2.0226,147.2712,84.0,64,30,11.72
234,Lata,PT,2022-09-12 22:35:16,40.1629,-8.3327,70.81,83,90,13.27
235,Atasu,KZ,2022-09-12 22:35:16,48.6814,71.6433,43.97,55,33,5.01
236,Nshamba,TZ,2022-09-12 22:35:17,-1.7983,31.5511,65.71,71,76,3.04
237,Fougamou,GA,2022-09-12 22:35:17,-1.2154,10.5838,73.44,83,63,3.09
238,Cabedelo,BR,2022-09-12 22:35:17,-6.9811,-34.8339,75.87,80,16,13.69
239,Poopo,BO,2022-09-12 22:35:18,-18.3667,-66.9667,52.99,15,19,1.83
240,Cabo San Lucas,MX,2022-09-12 22:33:16,22.8909,-109.9124,88.11,62,0,3.44
241,Tingo Maria,PE,2022-09-12 22:35:18,-9.2895,-76.0088,76.62,74,96,1.28
242,Arinos,BR,2022-09-12 22:35:18,-15.9169,-46.1056,79.36,24,36,2.73
243,Ajdabiya,LY,2022-09-12 22:35:19,30.7554,20.2263,76.71,74,0,8.57
244,Pinega,RU,2022-09-12 22:35:19,64.7001,43.3936,46.67,88,100,5.5
245,Saint Anthony,US,2022-09-12 22:35:19,45.0205,-93.218,76.28,44,0,11.5
246,Tabuny,RU,2022-09-12 22:35:19,52.7773,78.7896,48.22,57,87,1.14
247,Palmer,US,2022-09-12 22:35:20,42.1584,-72.3287,77.41,78,20,0.0
248,Kahului,US,2022-09-12 22:33:45,20.8947,-156.47,89.62,66,40,21.85
249,Hambantota,LK,2022-09-12 22:35:20,6.1241,81.1185,77.88,85,87,14.09
250,Mahebourg,MU,2022-09-12 22:35:21,-20.4081,57.7,69.26,77,40,8.05
251,Cabras,IT,2022-09-12 22:35:21,39.93,8.5314,71.82,84,54,4.65
252,Iranshahr,IR,2022-09-12 22:35:21,27.2025,60.6848,88.29,17,2,4.52
253,Garden City,US,2022-09-12 22:31:24,42.3256,-83.331,66.81,57,75,14.97
254,Bengkulu,ID,2022-09-12 22:35:22,-3.8004,102.2655,74.82,89,99,2.33
255,Solnechnyy,RU,2022-09-12 22:35:22,50.7214,136.6319,40.14,97,100,12.59
256,Ulladulla,AU,2022-09-12 22:35:22,-35.35,150.4667,50.77,73,99,9.06
257,Mar Del Plata,AR,2022-09-12 22:31:26,-38.0023,-57.5575,54.95,68,0,13.0
258,Alofi,NU,2022-09-12 22:35:23,-19.0595,-169.9187,82.29,65,75,11.5
259,Saldanha,ZA,2022-09-12 22:35:23,-33.0117,17.9442,51.85,79,0,16.49
260,Bac Lieu,VN,2022-09-12 22:35:23,9.285,105.7244,76.5,90,97,4.09
261,Manono,CD,2022-09-12 22:35:23,-7.3,27.4167,75.34,70,50,2.55
262,Haines Junction,CA,2022-09-12 22:35:24,60.7522,-137.5108,55.35,50,73,5.75
263,Canmore,CA,2022-09-12 22:30:34,51.0834,-115.3521,63.88,45,99,3.44
264,Victoria,HK,2022-09-12 22:33:59,22.2855,114.1577,87.19,71,1,1.99
265,Marzuq,YE,2022-09-12 22:35:24,14.4,46.4667,83.37,46,89,2.57
